user_id,sum,sec,sessions_completed,gender,experience_level,estimate_birth_day,focus,start_date
944,120000,120,24,f,"{""mindfulness"":""medium""}",1979-05-06 08:08:20.915+00,mindfulness,
945,1955000,1955,3366,m,"{""mindfulness"":""medium""}",1975-05-06 08:17:57.583+00,mindfulness,
948,8850000,8850,49455,m,"{""mindfulness"":""medium""}",1958-05-06 12:35:48.12+00,mindfulness,
949,40000,40,16,f,"{""mindfulness"":""low""}",1981-05-06 13:18:08.646+00,mindfulness,
950,105000,105,21,f,"{""mindfulness"":""medium""}",1981-05-06 13:22:44.585+00,mindfulness,
951,410000,410,164,f,"{""mindfulness"":""medium""}",1982-05-06 13:29:29.716+00,mindfulness,
955,735000,735,294,f,"{""mindfulness"":""medium""}",1956-05-06 14:32:43.552+00,mindfulness,
958,700000,700,280,f,"{""mindfulness"":""medium""}",1965-05-06 15:26:43.886+00,mindfulness,
960,330000,330,66,f,"{""mindfulness"":""low""}",1990-05-06 15:59:46.573+00,mindfulness,
963,1430000,1430,3336,f,"{""mindfulness"":""medium""}",1952-05-06 17:29:37.709+00,mindfulness,
973,970000,970,1256,m,"{""yoga"":""low""}",1989-05-06 18:27:00.163+00,yoga,
978,15000,15,22,m,"{""mindfulness"":""medium""}",1985-05-06 18:58:24.339+00,mindfulness,
981,30000,30,6,m,"{""mindfulness"":""none""}",2000-05-06 19:46:04.919+00,mindfulness,
983,15000,15,198,f,"{""mindfulness"":""low""}",1972-05-06 20:12:32.083+00,mindfulness,
984,5725000,5725,50765,m,"{""mindfulness"":""medium""}",1974-05-06 20:12:20.915+00,mindfulness,
985,110000,110,22,m,"{""mindfulness"":""high""}",1957-05-06 20:15:20.836+00,mindfulness,
990,695000,695,278,f,"{""mindfulness"":""low""}",1983-05-06 23:12:04.011+00,mindfulness,
991,120000,120,24,m,"{""mindfulness"":""high""}",1951-05-06 22:56:08.43+00,mindfulness,
993,210000,210,197,m,"{""mindfulness"":""high""}",1968-12-28 22:12:06.197+00,mindfulness,
994,4325000,4325,9248,f,"{""mindfulness"":""low""}",1960-05-06 23:19:11.07+00,mindfulness,
997,2705000,2705,3787,f,"{""mindfulness"":""high""}",1966-05-07 03:50:25.187+00,mindfulness,
998,1605000,1605,1392,f,"{""mindfulness"":""high""}",1963-05-07 04:12:42.827+00,mindfulness,
1002,780000,780,312,f,"{""mindfulness"":""high""}",1975-05-07 08:20:41.534+00,mindfulness,
1003,15000,15,3,m,"{""mindfulness"":""low""}",1982-05-07 09:17:10.678+00,mindfulness,
1004,290000,290,74,m,"{""mindfulness"":""medium""}",1966-01-04 15:11:13.219+00,mindfulness,
1006,15000,15,3,f,"{""mindfulness"":""low""}",1979-05-07 13:48:57.747+00,mindfulness,
1010,2320000,2320,41580,m,"{""mindfulness"":""low""}",1985-07-12 13:02:23.964+00,mindfulness,
1014,55000,55,22,m,"{""mindfulness"":""none""}",1981-05-07 16:41:58.91+00,mindfulness,
1015,6080000,6080,12312,f,"{""mindfulness"":""low""}",1962-05-07 17:41:31.755+00,mindfulness,
1016,640000,640,1508,f,"{""mindfulness"":""medium""}",1967-05-07 18:14:33.014+00,mindfulness,
1019,195000,195,78,f,"{""yoga"":""medium""}",1976-05-07 19:21:20.394+00,yoga,
1020,125000,125,55,f,"{""mindfulness"":""low""}",1966-05-07 19:25:06.375+00,mindfulness,
1022,65000,65,13,m,"{""mindfulness"":""medium""}",1980-05-07 19:29:56.552+00,mindfulness,
1024,695000,695,278,m,"{""mindfulness"":""none""}",1965-05-07 20:48:39.953+00,mindfulness,
1025,910000,910,910,f,"{""mindfulness"":""medium""}",1994-05-07 21:32:48.248+00,mindfulness,
1028,10000,10,2,f,"{""mindfulness"":""medium""}",1948-05-07 22:35:16.03+00,mindfulness,
1031,20000,20,4,m,"{""mindfulness"":""low""}",1980-05-08 01:08:59.727+00,mindfulness,
1038,35000,35,7,f,"{""mindfulness"":""low""}",1998-05-08 02:09:38.264+00,mindfulness,
1039,1835000,1835,367,f,"{""yoga"":""medium""}",1966-05-08 02:14:46.605+00,yoga,
1044,265000,265,53,m,"{""mindfulness"":""medium""}",1973-05-08 12:55:06.743+00,mindfulness,
1045,85000,85,34,f,"{""yoga"":""medium""}",1989-05-08 13:18:59.746+00,yoga,
1046,30000,30,431,f,"{""yoga"":""high""}",1976-05-08 13:54:35.043+00,yoga,
1047,20000,20,4,f,"{""mindfulness"":""none""}",1968-05-08 14:54:02.532+00,mindfulness,
1050,4005000,4005,9405,m,"{""mindfulness"":""medium""}",1955-05-08 15:16:35.09+00,mindfulness,
1051,90000,90,36,f,"{""mindfulness"":""low""}",1985-05-08 15:38:02.182+00,mindfulness,
1054,645000,645,387,f,"{""mindfulness"":""medium""}",1975-05-08 16:58:56.528+00,mindfulness,
1057,10110000,10110,51502,m,"{""yoga"":""low""}",1997-05-08 18:21:47.112+00,yoga,
1058,705000,705,522,f,"{""mindfulness"":""low""}",1990-05-08 18:22:19.78+00,mindfulness,
1060,715000,715,286,m,"{""mindfulness"":""low""}",1993-05-08 18:42:53.839+00,mindfulness,
1061,30000,30,6,f,"{""yoga"":""none""}",1987-05-08 18:53:49.307+00,yoga,
1062,165000,165,33,f,"{""mindfulness"":""medium""}",1964-05-08 19:07:15.344+00,mindfulness,
1063,1285000,1285,771,f,"{""mindfulness"":""high""}",1966-05-08 23:18:01.496+00,mindfulness,
1064,70000,70,364,m,"{""mindfulness"":""low""}",1956-05-08 19:40:42.847+00,mindfulness,
1066,705000,705,423,m,"{""mindfulness"":""medium""}",1949-05-08 19:56:00.719+00,mindfulness,
1070,215000,215,334,f,"{""mindfulness"":""none""}",1966-03-09 03:12:40.72+00,mindfulness,
1075,765000,765,819,f,"{""mindfulness"":""medium""}",1979-05-09 04:35:09.502+00,mindfulness,
1079,70000,70,14,m,"{""mindfulness"":""none""}",1985-05-09 13:12:38.123+00,mindfulness,
1083,15000,15,3,f,"{""mindfulness"":""none""}",1978-05-09 15:23:32.584+00,mindfulness,
1084,110000,110,538,f,"{""mindfulness"":""low""}",1976-05-09 16:15:48.264+00,mindfulness,
1087,50000,50,30,f,"{""mindfulness"":""medium""}",2002-05-09 17:19:24.487+00,mindfulness,
1088,60000,60,12,m,"{""mindfulness"":""low""}",1987-05-09 19:50:28.707+00,mindfulness,
1089,700000,700,280,f,"{""mindfulness"":""medium""}",1967-05-09 19:56:42.047+00,mindfulness,
1092,10000,10,2,f,"{""mindfulness"":""none""}",1960-05-09 22:08:54.856+00,mindfulness,
