ID,subscribedYN,sec,sessions_completed,series_completed,experience,focus_n,gender_n,dob_given
729,0,1765,4,0,2,0,1,1
730,0,1290,3,0,3,0,0,1
731,0,195,3,0,3,0,1,1
732,0,325,1,0,2,0,1,1
733,0,180,1,0,1,0,1,1
734,0,25,1,0,3,0,1,1
735,0,790,11,0,3,0,1,1
736,0,40,1,0,1,0,1,1
737,0,125,1,0,3,0,0,1
738,0,20,1,0,3,0,0,1
739,0,1025,3,0,1,0,0,1
740,0,285,5,0,1,0,0,1
741,0,80,1,0,3,0,0,1
742,0,870,2,0,1,0,0,1
743,0,655,2,0,2,0,0,1
744,0,410,1,0,2,0,0,1
745,0,1920,4,0,2,0,0,1
746,0,700,2,0,2,0,1,1
747,1,9225,16,2,1,0,1,1
748,0,3140,7,0,3,0,0,1
749,0,50,1,0,2,0,0,1
750,0,2070,7,0,3,0,0,1
751,0,9595,25,5,1,0,0,1
752,0,100,1,0,2,0,0,1
